id,naslov,tip,epizode,leto,ogledi,ocena
#area12069,Hajime no Ippo: Boxer no Kobushi,Special,(1 eps),2003,28'368,8.19
#area7054,Kaichou wa Maid-sama!,TV,(26 eps),2010,561'571,8.19
#area16662,Kaze Tachinu,Movie,(1 eps),2013,125'079,8.19
#area18679,Kill la Kill,TV,(24 eps),2013,819'242,8.19
#area35857,Lupin III: Part 5,TV,(24 eps),2018,14'712,8.19
#area36474,Sword Art Online: Alicization,TV,(4 eps),2014,196'601,8.19
#area27833,Durarara!!x2 Ketsu,TV,(12 eps),2016,196'533,8.18
#area1566,Ghost in the Shell: Stand Alone Complex - Solid State Society,Special,(1 eps),2006,71'755,8.18
#area3371,Ginga Eiyuu Densetsu Gaiden,OVA,(24 eps),1998,12'552,8.18
#area8425,Gosick,TV,(24 eps),2011,323'854,8.18
#area12031,Kingdom,TV,(38 eps),2012,81'995,8.18
#area1430,Lupin III: Cagliostro no Shiro,Movie,(1 eps),1979,50'048,8.18
#area1735,Naruto: Shippuuden,TV,(500 eps),2007,855'015,8.18
#area1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,OVA,(13 eps),2002,32'790,8.18
#area35838,Shoujo Shuumatsu Ryokou,TV,(12 eps),2017,130'209,8.18
#area33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,(1 eps),2016,88'318,8.18
#area25013,Akatsuki no Yona,TV,(24 eps),2014,365'586,8.17
#area3167,Eve no Jikan,ONA,(6 eps),2008,125'590,8.17
